[[7, 2, 1], 0.010530710220336914, 0.0010921955108642578, 6.661338147750939e-16, 0]
[[4, 3, 3], 0.01052999496459961, 0.000331878662109375, 7.549516567451064e-15, 0]
[[9, 1], 0.006042003631591797, 0.0023407936096191406, 0, 0]
[[7, 3], 0.008299112319946289, 0.000225067138671875, 2.220446049250313e-16, 0]
[[5, 4, 1], 0.014352798461914062, 0.0003876686096191406, 1.9984014443252818e-15, 0]
[[6, 3, 1], 0.010617971420288086, 0.00037288665771484375, 5.329070518200751e-15, 0]
[[10], 0.0034379959106445312, 7.605552673339844e-05, 0, 0]
[[4, 4, 2], 0.010364055633544922, 0.00041294097900390625, 3.552713678800501e-15, 0]
[[8, 1, 1], 0.008983612060546875, 0.00046706199645996094, 0, 0]
[[4, 3, 3], 0.010476827621459961, 0.0003368854522705078, 7.549516567451064e-15, 0]
[[7, 2, 1], 0.009797096252441406, 0.0003979206085205078, 6.661338147750939e-16, 0]
[[7, 3], 0.009387016296386719, 0.00022411346435546875, 2.220446049250313e-16, 0]
[[9, 1], 0.008216142654418945, 0.0002040863037109375, 0, 0]
[[4, 3, 3], 0.015439987182617188, 0.0005319118499755859, 7.549516567451064e-15, 0]
[[8, 2], 0.014062881469726562, 0.0005290508270263672, 1.1102230246251565e-16, 0]
[[7, 2, 1], 0.013557910919189453, 0.0005998611450195312, 6.661338147750939e-16, 0]
[[5, 5], 0.007452726364135742, 0.0001652240753173828, 4.440892098500626e-16, 0]
[[9, 1], 0.005641937255859375, 0.00018596649169921875, 0, 0]
[[5, 5], 0.007835865020751953, 0.0001590251922607422, 4.440892098500626e-16, 0]
[[4, 4, 2], 0.010136127471923828, 0.00039315223693847656, 3.552713678800501e-15, 0]
[[6, 2, 2], 0.00989079475402832, 0.0004999637603759766, 4.440892098500626e-15, 0]
[[7, 3], 0.007447004318237305, 0.0002040863037109375, 2.220446049250313e-16, 0]
[[7, 3], 0.008769035339355469, 0.00029921531677246094, 2.220446049250313e-16, 0]
[[6, 4], 0.006819963455200195, 0.0003151893615722656, 2.220446049250313e-16, 0]
[[8, 1, 1], 0.009865760803222656, 0.0003712177276611328, 0, 0]
[[7, 3], 0.00691676139831543, 0.00020194053649902344, 2.220446049250313e-16, 0]
[[7, 2, 1], 0.010499954223632812, 0.0004987716674804688, 6.661338147750939e-16, 0]
[[6, 4], 0.007066965103149414, 0.0002739429473876953, 2.220446049250313e-16, 0]
[[5, 3, 2], 0.01212310791015625, 0.0004119873046875, 5.773159728050814e-15, 0]
[[5, 3, 2], 0.012332916259765625, 0.0005950927734375, 5.773159728050814e-15, 0]
[[10], 0.005496978759765625, 0.0001227855682373047, 0, 0]
[[5, 4, 1], 0.01315927505493164, 0.00036907196044921875, 1.9984014443252818e-15, 0]
[[4, 4, 2], 0.01725625991821289, 0.0004878044128417969, 3.552713678800501e-15, 0]
[[7, 2, 1], 0.01726388931274414, 0.00044798851013183594, 6.661338147750939e-16, 0]
[[7, 2, 1], 0.013180017471313477, 0.0003948211669921875, 6.661338147750939e-16, 0]
[[7, 3], 0.007879018783569336, 0.0002288818359375, 2.220446049250313e-16, 0]
[[5, 5], 0.008989334106445312, 0.00016427040100097656, 4.440892098500626e-16, 0]
[[9, 1], 0.007901191711425781, 0.0003008842468261719, 0, 0]
[[8, 2], 0.00939488410949707, 0.0002319812774658203, 1.1102230246251565e-16, 0]
[[10], 0.0032300949096679688, 7.104873657226562e-05, 0, 0]
[[9, 1], 0.006439924240112305, 0.00022292137145996094, 0, 0]
[[8, 1, 1], 0.009549140930175781, 0.0003769397735595703, 0, 0]
[[8, 1, 1], 0.010384082794189453, 0.0005249977111816406, 0, 0]
[[7, 3], 0.009831905364990234, 0.00022411346435546875, 2.220446049250313e-16, 0]
[[4, 4, 2], 0.012111186981201172, 0.0005002021789550781, 3.552713678800501e-15, 0]
[[4, 4, 2], 0.013041257858276367, 0.000530242919921875, 3.552713678800501e-15, 0]
[[7, 2, 1], 0.010657787322998047, 0.0003829002380371094, 6.661338147750939e-16, 0]
[[5, 5], 0.0072820186614990234, 0.00018715858459472656, 4.440892098500626e-16, 0]
[[4, 4, 2], 0.012600898742675781, 0.0003380775451660156, 3.552713678800501e-15, 0]
[[8, 2], 0.00658726692199707, 0.0002181529998779297, 1.1102230246251565e-16, 0]
[[7, 2, 1], 0.010011911392211914, 0.0003948211669921875, 6.661338147750939e-16, 0]
[[5, 5], 0.007008075714111328, 0.0001761913299560547, 4.440892098500626e-16, 0]
[[9, 1], 0.006712913513183594, 0.0002200603485107422, 0, 0]
[[7, 2, 1], 0.009184837341308594, 0.00041413307189941406, 6.661338147750939e-16, 0]
[[5, 4, 1], 0.010825872421264648, 0.0003490447998046875, 1.9984014443252818e-15, 0]
[[5, 3, 2], 0.012794971466064453, 0.0004868507385253906, 5.773159728050814e-15, 0]
[[6, 4], 0.007543087005615234, 0.00018095970153808594, 2.220446049250313e-16, 0]
[[5, 3, 2], 0.012547969818115234, 0.00044798851013183594, 5.773159728050814e-15, 0]
[[5, 4, 1], 0.01271677017211914, 0.00034499168395996094, 1.9984014443252818e-15, 0]
[[7, 3], 0.006383180618286133, 0.00020694732666015625, 2.220446049250313e-16, 0]
[[6, 3, 1], 0.010529041290283203, 0.00037407875061035156, 5.329070518200751e-15, 0]
[[5, 3, 2], 0.009983062744140625, 0.0003807544708251953, 5.773159728050814e-15, 0]
[[10], 0.0037293434143066406, 8.225440979003906e-05, 0, 0]
[[5, 4, 1], 0.010598897933959961, 0.0003352165222167969, 1.9984014443252818e-15, 0]
[[6, 3, 1], 0.009743928909301758, 0.0003619194030761719, 5.329070518200751e-15, 0]
[[5, 3, 2], 0.010190010070800781, 0.00038886070251464844, 5.773159728050814e-15, 0]
[[7, 3], 0.006237030029296875, 0.0016851425170898438, 2.220446049250313e-16, 0]
[[10], 0.003547191619873047, 9.799003601074219e-05, 0, 0]
[[6, 2, 2], 0.008822917938232422, 0.0003819465637207031, 4.440892098500626e-15, 0]
[[8, 1, 1], 0.01027822494506836, 0.0004131793975830078, 0, 0]
[[6, 2, 2], 0.01107478141784668, 0.0004279613494873047, 4.440892098500626e-15, 0]
[[6, 2, 2], 0.011215925216674805, 0.0004131793975830078, 4.440892098500626e-15, 0]
[[4, 3, 3], 0.010677814483642578, 0.0003361701965332031, 7.549516567451064e-15, 0]
[[8, 1, 1], 0.009732961654663086, 0.0004291534423828125, 0, 0]
[[6, 2, 2], 0.009881973266601562, 0.00040793418884277344, 4.440892098500626e-15, 0]
[[6, 3, 1], 0.010486125946044922, 0.0003910064697265625, 5.329070518200751e-15, 0]
[[7, 2, 1], 0.01007390022277832, 0.0004191398620605469, 6.661338147750939e-16, 0]
[[4, 4, 2], 0.011281967163085938, 0.00034308433532714844, 3.552713678800501e-15, 0]
